state_name,city_code,city_name
AP,203," MADANAPALLE, AP"
AP,204," PRODDUTUR, AP"
AP,205," AMALAPURAM, AP"
AP,207," BAPATLA, AP"
AP,216," MACHILIPATNAM, AP"
AP,221," ADONI, AP"
AP,226," GUDUR, AP"
AP,227," KANDUKUR, AP"
AP,230," PALAKONDA, AP"
AP,231," GAJUWAKA, AP"
AP,235," SALUR, AP"
AP,237," JANGAREDDY GUDEM, AP"
AP,302," KADIRI, AP"
AP,303," PALAMANER, AP"
AP,304," PULIVENDULA, AP"
AP,305," KATHIPUDI, AP"
AP,307,"MVI CHILAKALURIPETA, AP"
AP,316," NANDIGAMA, AP"
AP,321," ATMAKUR-KURNOOL, AP"
AP,326," KAVALI, AP"
AP,327," MARKAPUR, AP"
AP,330," PALASA, AP"
AP,331," NARSIPATNAM, AP"
AP,337," KOVVURU, AP"
AP,402," TADIPATRI, AP"
AP,403," PILER, AP"
AP,404," RAJAMPET, AP"
AP,405," MANDAPETA, AP"
AP,407, MACHE AP
AP,416," NUZVID, AP"
AP,421," DHONE, AP"
AP,426," SULLURPET, AP"
AP,427," DARSI, AP"
AP,430," TEKKALI, AP"
AP,437," TADEPALLI GUDEM, AP"
AP,503," PUTTUR, AP"
AP,504," RAYACHOTI, AP"
AP,505," PEDDAPURAM, AP"
AP,507," MANGALAGIRI, AP"
AP,516," VUYYURU, AP"
AP,537," TANUKU, AP"
AP,603," SRIKALAHASTHI, AP"
AP,607," PIDUGURALLA, AP"
AP,616," JAGGAYYAPET, AP"
AP,637," PALAKOLE, AP"
AP,705," RAVULAPALEM, AP"
AP,707," TENALI, AP"
AP,905," CHINTOOR, AP"
AR,1," ITANAGAR, AR"
AR,3,"TAWANG, AR"
AR,4,"BOMDILA, AR"
AR,5,"SEPPA, AR"
AR,6,"ZIRO, AR"
AR,7,"DAPORIJO, AR"
AR,8,"ALONG, AR"
AR,9,"PASIGHAT, AR"
AR,10,"DTO ANINI, AR"
AR,11,"TEZU, AR"
AR,12,"CHANGLANG, AR"
AR,13,"KHONSA, AR"
AR,14,"DTO YINGKIONG, AR"
AR,15,"DTO KOLORIANG, AR"
AR,16,"ROING, AR"
AR,17," HAWAI, AR"
AS,1,"KAMRUP, AS"
AS,2,"NAGAON, AS"
AS,3,"JORHAT, AS"
AS,4,"SIVSAGAR, AS"
AS,5,"GOLAGHAT, AS"
AS,6,"DIBRUGARH, AS"
AS,7,"LAKHIMPUR, AS"
AS,8,"N.C HILLS, AS"
AS,9,"KARBI ANGLOG, AS"
AS,10,"KARIMGANJ, AS"
AS,11,"SILCHAR, AS"
AS,12,"SONITPUR, AS"
AS,13,"DARRANG, AS"
AS,14,"NALBARI, AS"
AS,15,"BARPETA, AS"
AS,16,"KOKRAJHAR, AS"
AS,17,"DHUBRI, AS"
AS,18,"GOALPARA, AS"
AS,19,"BONGAIGAON, AS"
AS,21,"MORIGAON, AS"
AS,22,"DHEMAJI, AS"
AS,23,"TINSUKIA, AS"
AS,24,"HAILAKANDI, AS"
AS,25," KAMRUP RURAL, AS"
AS,26,"CHIRANG, AS"
AS,27,"UDALGURI, AS"
AS,28,"BAKSA, AS"
BR,1," PATNA, BR"
BR,2," GAYA, BR"
BR,3," BHOJPUR, BR"
BR,4," CHAPARA, BR"
BR,5," MOTIHARI, BR"
BR,6," MUZAFFARPUR, BR"
BR,7," DARBHANGA, BR"
BR,8," MUNGER, BR"
BR,9," BEGUSARAI, BR"
BR,10," BHAGALPUR, BR"
BR,11," PURNEA, BR"
BR,19," SAHARSA, BR"
BR,21," NALANDA, BR"
BR,22," BETTIAH, BR"
BR,24," ROHTAS, BR"
BR,25," JEHANABAD, BR"
BR,26," AURANGABAD, BR"
BR,27," NAWADAH, BR"
BR,28," GOPALGANJ, BR"
BR,29," SIWAN, BR"
BR,30," SITAMARHI, BR"
OD,1,"BALASORE, OD"
OD,2,"BHUBANESWAR, OD"
OD,3,"BOLANGIR, OD"
OD,4,"CHANDIKHOL, OD"
OD,5,"CUTTACK, OD"
OD,6,"DHENKANAL, OD"
OD,7,"GANJAM, OD"
OD,8,"KALAHANDI, OD"
OD,9,"KEONJHAR, OD"
OD,10,"KORAPUT, OD"
OD,11,"MAYURBHANJ, OD"
OD,11R,"RAIRANGPUR, OD"
OD,12,"PHULBANI, OD"
OD,13,"PURI, OD"
OD,14,"ROURKELA, OD"
OD,15,"SAMBALPUR, OD"
OD,16,"SUNDERGARH, OD"
OD,17,"BARAGARH, OD"
OD,18,"RAYAGADA, OD"
OD,19,"ANGUL, OD"
OD,20,"GAJAPATI, OD"
OD,21,"JAGATSINGHPUR, OD"
OD,22,"BHADRAK, OD"
OD,23,"JHARSUGUDA, OD"
OD,24,"NAWARANGPUR, OD"
OD,25,"NAYAGARH, OD"
OD,26,"NUAPADA, OD"
OD,27,"BOUDH, OD"
OD,28,"DEOGARH, OD"
OD,29,"KENDRAPARA, OD"
OD,30,"MALKANGIRI, OD"
OD,31,"SUBARNAPUR, OD"
OD,32,"BHANJANAGAR, OD"
OD,33,"BHUBANESWAR-II, OD"
OD,34,"JAJPUR, OD"
OD,35,"TALCHER, OD"
OD,99,"BHUBANESWAR, OD"
PY,1,"PUDUCHERRY, PY"
PY,2,"KARAIKAL, PY"
PY,3," MAHE, PY"
PY,4," YANAM, PY"
PY,5,"OULGARET, PY"
PB,1,"STA,PUNJAB, PB"
PB,2,"AMRITSAR, PB"
PB,3,"BATHINDA, PB"
PB,4,"FARIDKOT, PB"
PB,5,"FEROZEPUR, PB"
PB,6,"GURDASPUR, PB"
PB,7,"HOSHIARPUR, PB"
PB,8,"JALANDHAR, PB"
PB,9,"KAPURTHALA, PB"
PB,10,"LUDHIANA, PB"
PB,11,"PATIALA, PB"
PB,12,"ROPAR, PB"
PB,13,"SANGRUR, PB"
PB,14,"AJNALA, PB"
PB,15,"ABOHAR, PB"
PB,16,"ANANDPUR SAHIB, PB"
PB,17,"BABA BAKALA, PB"
PB,18,"BATALA, PB"
PB,19,"BARNALA, PB"
PB,20,"BALACHAUR, PB"
PB,21,"DASUYA, PB"
PB,22,"FAZILKA, PB"
PB,23,"FATEHGARH SAHIB, PB"
PB,24,"GARHSHANKAR, PB"
PB,25,"JAGRAON, PB"
PB,26,"KHANNA, PB"
PB,27,"KHARAR, PB"
PB,28,"MALERKOTLA, PB"
PB,29,"MOGA, PB"
PB,30,"MUKTSAR, PB"
PB,31,"MANSA, PB"
PB,32,"NAWANSHAHAR, PB"
PB,33,"NAKODAR, PB"
PB,34,"NABHA, PB"
PB,35,"PATHANKOT, PB"
PB,36,"PHAGWARA, PB"
PB,37,"PHILLAUR, PB"
PB,38," PATTI, PB"
PB,39,"RAJPURA, PB"
PB,40,"RAMPURA PHUL, PB"
PB,41,"SULTANPUR LODHI, PB"
PB,42,"SAMANA, PB"
PB,43,"SAMRALA, PB"
PB,44,"SUNAM, PB"
PB,45,"TALWANDI SABO, PB"
PB,46,"TARAN TARAN, PB"
PB,47,"ZIRA, PB"
PB,48,"AMLOH, PB"
PB,49,"KHAMAO, PB"
PB,50,"BUDHLADA, PB"
PB,51,"SARDULGARH, PB"
PB,52,"BASSI, PB"
PB,53,"MALOUT, PB"
PB,54,"MUKERIAN, PB"
PB,55,"PAYAL, PB"
PB,56,"RAIKOT, PB"
PB,57,"BHOLATH, PB"
