iter	Passed	Remaining
409	5716	1254
410	5727	1240
411	5739	1225
412	5749	1211
413	5761	1196
414	5778	1183
415	5798	1170
416	5808	1156
417	5820	1141
418	5833	1127
419	5843	1113
420	5868	1101
421	5883	1087
422	5902	1074
423	5914	1060
424	5923	1045
425	5937	1031
426	5950	1017
427	5964	1003
428	5973	988
429	5984	974
430	5995	959
431	6004	945
432	6017	931
433	6030	917
434	6043	903
435	6054	888
436	6066	874
437	6077	860
438	6090	846
439	6099	831
440	6109	817
441	6124	803
442	6144	790
443	6162	777
444	6177	763
445	6212	752
446	6270	743
447	6296	730
448	6322	718
449	6364	707
450	6386	693
451	6414	681
452	6436	667
453	6470	655
454	6504	643
455	6551	632
456	6567	617
457	6595	604
458	6612	590
459	6632	576
460	6647	562
461	6674	549
462	6685	534
463	6696	519
464	6711	505
465	6725	490
466	6761	477
467	6778	463
468	6791	448
469	6804	434
470	6813	419
471	6827	405
472	6840	390
473	6856	376
474	6875	361
475	6888	347
476	6905	332
477	6918	318
478	6931	303
479	6941	289
480	6954	274
481	6966	260
482	6983	245
483	6996	231
484	7005	216
485	7018	202
486	7031	187
487	7044	173
488	7055	158
489	7068	144
490	7082	129
491	7101	115
492	7118	101
493	7131	86
494	7144	72
495	7157	57
496	7167	43
497	7181	28
498	7193	14
499	7211	0
