iter	Passed	Remaining
424	1761	2382
425	1764	2377
426	1767	2371
427	1770	2366
428	1774	2362
429	1778	2357
430	1781	2352
431	1785	2347
432	1788	2342
433	1792	2337
434	1795	2332
435	1798	2327
436	1802	2321
437	1805	2316
438	1808	2311
439	1812	2306
440	1815	2301
441	1819	2296
442	1822	2291
443	1826	2286
444	1829	2281
445	1833	2278
446	1837	2273
447	1841	2268
448	1844	2263
449	1847	2258
450	1851	2253
451	1854	2248
452	1858	2244
453	1862	2239
454	1865	2234
455	1868	2229
456	1872	2224
457	1881	2226
458	1884	2221
459	1888	2216
460	1891	2211
461	1895	2206
462	1898	2202
463	1902	2197
464	1905	2192
465	1908	2187
466	1911	2182
467	1915	2177
468	1919	2173
469	1923	2168
470	1926	2163
471	1930	2159
472	1933	2154
473	1936	2149
474	1940	2144
475	1943	2139
476	1947	2135
477	1950	2130
478	1954	2125
479	1957	2120
480	1961	2115
481	1964	2111
482	1967	2106
483	1970	2100
484	1974	2096
485	1977	2091
486	1981	2086
487	1984	2082
488	1989	2079
489	1992	2074
490	1996	2069
491	1999	2064
492	2003	2060
493	2007	2055
494	2010	2050
495	2013	2046
496	2017	2041
497	2020	2037
498	2024	2032
499	2027	2027
500	2031	2023
501	2034	2018
502	2037	2013
503	2041	2008
504	2045	2004
505	2048	1999
506	2051	1995
507	2054	1990
508	2058	1985
509	2061	1980
510	2064	1976
511	2068	1971
512	2071	1966
513	2075	1961
514	2078	1957
515	2081	1952
516	2085	1948
517	2088	1943
518	2091	1938
519	2095	1934
520	2098	1929
521	2102	1924
522	2105	1920
523	2108	1915
524	2111	1910
525	2116	1907
526	2120	1902
527	2123	1898
528	2127	1894
529	2130	1889
530	2134	1885
531	2137	1880
532	2140	1875
533	2144	1871
534	2149	1867
535	2153	1863
536	2160	1862
537	2166	1860
538	2171	1857
539	2178	1855
540	2182	1851
541	2188	1848
542	2197	1849
543	2202	1846
544	2208	1844
545	2214	1841
546	2220	1839
547	2225	1835
548	2230	1832
549	2235	1829
550	2241	1826
551	2251	1827
552	2258	1825
553	2265	1823
554	2273	1822
555	2278	1819
556	2284	1817
557	2292	1816
558	2298	1813
559	2304	1810
560	2309	1807
561	2314	1803
562	2325	1804
563	2333	1803
564	2336	1799
565	2340	1794
566	2343	1790
567	2348	1785
568	2352	1781
569	2357	1778
570	2362	1774
571	2366	1770
572	2369	1765
573	2378	1765
574	2382	1760
575	2385	1756
576	2391	1753
577	2396	1749
578	2399	1744
579	2404	1740
580	2407	1736
581	2411	1732
582	2416	1728
583	2420	1723
584	2423	1719
585	2427	1715
586	2431	1710
587	2435	1706
588	2439	1702
589	2443	1698
590	2447	1693
591	2451	1689
592	2455	1685
593	2460	1681
594	2463	1677
595	2467	1672
596	2471	1668
597	2475	1664
598	2479	1659
599	2483	1655
600	2487	1651
601	2491	1646
602	2494	1642
603	2498	1638
604	2503	1634
605	2507	1630
606	2510	1625
607	2514	1621
608	2518	1616
609	2522	1612
610	2525	1608
611	2529	1603
612	2533	1599
613	2537	1595
614	2541	1590
615	2545	1586
616	2548	1582
617	2552	1577
618	2556	1573
619	2560	1569
620	2564	1565
621	2568	1561
622	2572	1556
623	2576	1552
624	2580	1548
625	2583	1543
626	2587	1539
627	2591	1535
628	2595	1530
629	2599	1526
630	2603	1522
631	2607	1518
632	2610	1513
633	2620	1512
634	2625	1509
635	2629	1504
636	2632	1500
637	2636	1495
638	2639	1491
639	2642	1486
640	2645	1481
641	2648	1477
642	2652	1472
643	2655	1467
644	2658	1463
645	2661	1458
646	2665	1454
647	2668	1449
648	2673	1446
649	2677	1441
650	2680	1437
651	2683	1432
652	2686	1427
653	2690	1423
654	2693	1418
655	2696	1414
656	2700	1409
657	2703	1405
658	2707	1400
659	2710	1396
660	2713	1391
661	2717	1387
662	2720	1382
663	2724	1378
664	2728	1374
665	2731	1370
666	2735	1365
667	2738	1361
668	2743	1357
669	2747	1353
670	2750	1348
671	2753	1344
672	2757	1339
673	2761	1335
674	2764	1330
675	2767	1326
676	2770	1322
677	2774	1317
678	2777	1313
679	2780	1308
680	2784	1304
681	2789	1300
682	2793	1296
683	2797	1292
684	2801	1288
685	2805	1284
686	2809	1279
687	2812	1275
688	2815	1271
689	2819	1266
690	2822	1262
691	2879	1281
692	2882	1277
693	2885	1272
694	2889	1267
695	2892	1263
696	2898	1259
697	2902	1255
698	2905	1250
699	2908	1246
700	2911	1241
701	2915	1237
702	2918	1232
703	2921	1228
704	2924	1223
705	2927	1219
706	2932	1215
707	2935	1210
708	2939	1206
709	2943	1202
710	2946	1197
711	2949	1193
712	2953	1188
713	2956	1184
714	2959	1179
715	2963	1175
716	2966	1170
717	2969	1166
718	2973	1161
719	2976	1157
720	2979	1153
721	2982	1148
722	2988	1144
723	2992	1140
724	2995	1136
725	2998	1131
726	3002	1127
727	3005	1123
728	3009	1118
729	3012	1114
730	3015	1109
731	3018	1105
732	3021	1100
733	3024	1096
734	3028	1091
735	3031	1087
736	3034	1082
737	3037	1078
738	3041	1074
739	3045	1070
740	3049	1065
741	3052	1061
742	3057	1057
743	3060	1053
744	3063	1048
745	3066	1044
746	3071	1040
747	3075	1036
748	3078	1031
749	3081	1027
750	3085	1023
751	3102	1023
752	3134	1028
753	3145	1026
754	3149	1021
755	3155	1018
756	3160	1014
757	3163	1010
758	3169	1006
759	3173	1002
760	3178	998
761	3187	995
762	3253	1010
763	3265	1008
764	3270	1004
765	3279	1001
766	3286	998
767	3293	995
768	3304	992
769	3320	991
770	3323	987
771	3327	982
772	3331	978
773	3334	973
774	3337	969
775	3341	964
776	3345	960
777	3348	955
778	3352	950
779	3356	946
780	3359	942
781	3362	937
782	3366	932
783	3369	928
784	3375	924
785	3379	920
786	3382	915
787	3386	911
788	3389	906
789	3393	902
790	3396	897
791	3400	893
792	3404	888
793	3407	884
794	3410	879
795	3414	874
796	3417	870
797	3420	865
798	3423	861
799	3427	856
800	3432	852
801	3436	848
802	3442	844
803	3445	839
804	3449	835
805	3452	831
806	3456	826
807	3459	822
808	3463	817
809	3466	813
810	3470	808
811	3473	804
812	3476	799
813	3479	795
814	3482	790
815	3485	786
816	3489	781
817	3492	777
818	3495	772
819	3499	768
820	3502	763
821	3506	759
822	3510	754
823	3513	750
824	3516	745
825	3520	741
826	3523	737
827	3527	732
828	3530	728
829	3534	723
830	3538	719
831	3542	715
832	3545	710
833	3549	706
834	3552	702
835	3556	697
836	3559	693
837	3562	688
838	3566	684
839	3569	679
840	3572	675
841	3575	670
842	3578	666
843	3581	662
844	3585	657
845	3588	653
846	3591	648
847	3595	644
848	3598	640
849	3601	635
850	3605	631
851	3609	626
852	3612	622
853	3615	618
854	3619	613
855	3622	609
856	3625	604
857	3629	600
858	3632	596
859	3635	591
860	3639	587
861	3643	583
862	3646	578
863	3650	574
864	3653	570
865	3657	565
866	3660	561
867	3664	557
868	3668	553
869	3672	548
870	3675	544
871	3679	540
872	3683	535
873	3687	531
874	3690	527
875	3694	522
876	3697	518
877	3700	514
878	3704	509
879	3707	505
880	3710	501
881	3713	496
882	3718	492
883	3722	488
884	3726	484
885	3731	480
886	3735	475
887	3738	471
888	3742	467
889	3746	463
890	3750	458
891	3754	454
892	3757	450
893	3761	446
894	3765	441
895	3768	437
896	3771	433
897	3776	428
898	3779	424
899	3783	420
900	3786	416
901	3789	411
902	3793	407
903	3796	403
904	3799	398
905	3803	394
906	3806	390
907	3809	385
908	3812	381
909	3815	377
910	3819	373
911	3822	368
912	3826	364
913	3829	360
914	3832	356
915	3835	351
916	3839	347
917	3842	343
918	3846	339
919	3850	334
920	3854	330
921	3858	326
922	3861	322
923	3865	317
924	3868	313
925	3872	309
926	3876	305
927	3879	300
928	3882	296
929	3885	292
930	3889	288
931	3892	283
932	3895	279
933	3898	275
934	3901	271
935	3905	267
936	3909	262
937	3912	258
938	3917	254
939	3920	250
940	3924	246
941	3927	241
942	3931	237
943	3934	233
944	3937	229
945	3940	224
946	3944	220
947	3947	216
948	3950	212
949	3953	208
950	3957	203
951	3961	199
952	3964	195
953	3968	191
954	3971	187
955	3975	182
956	3979	178
957	3983	174
958	3987	170
959	3991	166
960	3994	162
961	3998	157
962	4002	153
963	4006	149
964	4009	145
965	4012	141
966	4016	137
967	4019	132
968	4022	128
969	4025	124
970	4029	120
971	4032	116
972	4035	111
973	4038	107
974	4042	103
975	4046	99
976	4050	95
977	4053	91
978	4056	87
979	4059	82
980	4063	78
981	4066	74
982	4070	70
983	4073	66
984	4078	62
985	4081	57
986	4085	53
987	4088	49
988	4092	45
989	4095	41
990	4099	37
991	4103	33
992	4112	28
993	4116	24
994	4119	20
995	4123	16
996	4127	12
997	4130	8
998	4134	4
999	4138	0
